entry_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_time,outcome,pnl_dollars,is_equal,session_date
2026-04-30 14:48:00+00:00,SELL,4620.1,4621.1,4618.9,4621.1,2026-04-30 14:50:00,SL,-1.0,False,2026-04-30
2026-04-30 14:52:00+00:00,SELL,4622.32,4623.32,4619.45,4623.32,2026-04-30 14:54:00,SL,-1.0,False,2026-04-30
2026-04-30 14:53:00+00:00,SELL,4622.77,4623.77,4621.27,4621.27,2026-04-30 14:54:00,TP,1.5,False,2026-04-30
2026-04-30 14:57:00+00:00,SELL,4620.03,4621.03,4617.93,4621.03,2026-04-30 14:58:00,SL,-1.0,False,2026-04-30
2026-04-30 15:01:00+00:00,BUY,4620.85,4619.85,4623.06,4619.85,2026-04-30 15:02:00,SL,-1.0,False,2026-04-30
2026-04-30 15:03:00+00:00,BUY,4617.28,4616.28,4618.78,4616.28,2026-04-30 15:04:00,SL,-1.0,False,2026-04-30
2026-04-30 15:13:00+00:00,BUY,4618.1,4617.1,4620.85,4620.85,2026-04-30 15:15:00,TP,2.75,False,2026-04-30
2026-04-30 15:15:00+00:00,SELL,4620.81,4621.81,4617.93,4617.93,2026-04-30 15:16:00,TP,2.88,False,2026-04-30
2026-04-30 15:17:00+00:00,BUY,4618.99,4617.99,4620.49,4617.99,2026-04-30 15:19:00,SL,-1.0,False,2026-04-30
2026-04-30 15:30:00+00:00,SELL,4623.64,4624.64,4622.14,4624.64,2026-04-30 15:32:00,SL,-1.0,True,2026-04-30
2026-04-30 15:32:00+00:00,SELL,4623.16,4624.16,4621.66,4624.16,2026-04-30 15:34:00,SL,-1.0,True,2026-04-30
2026-04-30 15:34:00+00:00,SELL,4623.28,4624.28,4621.78,4624.28,2026-04-30 15:35:00,SL,-1.0,True,2026-04-30
2026-04-30 15:35:00+00:00,SELL,4623.52,4624.52,4621.79,4621.79,2026-04-30 15:36:00,TP,1.73,True,2026-04-30
2026-04-30 15:56:00+00:00,SELL,4615.6,4616.6,4612.76,4616.6,2026-04-30 15:57:00,SL,-1.0,False,2026-04-30
2026-05-01 07:00:00+00:00,SELL,4595.37,4596.37,4593.87,4593.87,2026-05-01 07:01:00,TP,1.5,True,2026-05-01
2026-05-01 07:20:00+00:00,SELL,4595.53,4596.53,4592.85,4592.85,2026-05-01 07:21:00,TP,2.68,True,2026-05-01
2026-05-01 08:07:00+00:00,SELL,4581.31,4582.31,4579.81,4579.81,2026-05-01 08:10:00,TP,1.5,False,2026-05-01
2026-05-01 09:21:00+00:00,SELL,4569.71,4570.71,4568.21,4570.71,2026-05-01 09:23:00,SL,-1.0,False,2026-05-01
2026-05-01 09:26:00+00:00,SELL,4569.24,4570.24,4567.74,4570.24,2026-05-01 09:28:00,SL,-1.0,False,2026-05-01
2026-05-01 09:35:00+00:00,SELL,4571.01,4572.01,4569.51,4572.01,2026-05-01 09:37:00,SL,-1.0,True,2026-05-01
2026-05-01 09:42:00+00:00,SELL,4572.07,4573.07,4570.85,4570.85,2026-05-01 09:43:00,TP,1.22,False,2026-05-01
2026-05-01 10:16:00+00:00,SELL,4567.52,4568.52,4565.26,4568.52,2026-05-01 10:19:00,SL,-1.0,False,2026-05-01
2026-05-01 10:36:00+00:00,SELL,4569.41,4570.41,4566.68,4570.41,2026-05-01 10:38:00,SL,-1.0,False,2026-05-01
2026-05-01 10:43:00+00:00,SELL,4569.97,4570.97,4567.55,4570.97,2026-05-01 10:46:00,SL,-1.0,False,2026-05-01
2026-05-01 10:46:00+00:00,SELL,4570.4,4571.4,4567.55,4571.4,2026-05-01 10:47:00,SL,-1.0,False,2026-05-01
2026-05-01 10:57:00+00:00,SELL,4567.76,4568.76,4565.26,4565.26,2026-05-01 11:01:00,TP,2.5,True,2026-05-01
