label,strategy,model,cost,n,pts,pf,wr,train_n,train_pts,train_pf,test_n,test_pts,test_pf,maxdd,test_months,test_pos_share,test_max_share,gold_corr,up_pts,dn_pts,bar1_n,bar2_base,bar3_train,bar4_monthly,bar5_regime,n_outside_s5
s99_sweepn96_c0.75,s99_mss_fvg,quote_S5,0.7,1998,-1577.0,0.749,38.0,968,-649.1,0.723,1030,-927.9,0.764,-1649.2,10,0.1,,0.31,-836.7,-740.3,True,False,False,False,True,0.0
s100_above_c0.75,s100_m3_combo,mid_M1,0.75,2746,-660.4,0.913,33.3,1514,-844.5,0.764,1232,184.2,1.046,-980.6,8,0.25,1.26,-0.21,-645.8,-14.6,True,True,False,False,True,
s100_above_c0.75,s100_m3_combo,mid_M1,1.0,2746,-1346.9,0.833,33.2,1514,-1223.0,0.681,1232,-123.8,0.971,-1456.6,8,0.25,,-0.29,-1223.5,-123.3,True,False,False,False,True,
s100_above_c0.75,s100_m3_combo,quote_S5,0.45,2746,-762.7,0.896,30.4,1514,-798.3,0.766,1232,35.6,1.009,-1008.0,8,0.25,4.89,-0.24,-745.4,-17.3,True,True,False,False,True,0.0
s100_above_c0.75,s100_m3_combo,quote_S5,0.7,2746,-1449.2,0.814,30.2,1514,-1176.8,0.68,1232,-272.4,0.934,-1495.1,8,0.25,,-0.34,-1323.2,-126.1,True,False,False,False,True,0.0
s100_base_c0.75,s100_m3_combo,mid_M1,0.75,4579,-1336.8,0.9,33.2,2147,-1113.3,0.779,2432,-223.4,0.973,-1351.7,10,0.3,,-0.23,-1154.2,-182.6,True,False,False,False,True,
s100_base_c0.75,s100_m3_combo,mid_M1,1.0,4579,-2481.5,0.824,33.0,2147,-1650.1,0.695,2432,-831.4,0.904,-2489.9,10,0.3,,-0.2,-1918.4,-563.1,True,False,False,False,True,
s100_base_c0.75,s100_m3_combo,quote_S5,0.45,4579,-1329.0,0.896,30.7,2147,-1034.0,0.784,2432,-294.9,0.963,-1343.2,10,0.4,,-0.28,-1210.1,-118.9,True,False,False,False,True,0.0
s100_base_c0.75,s100_m3_combo,quote_S5,0.7,4579,-2473.7,0.818,30.6,2147,-1570.8,0.696,2432,-902.9,0.893,-2484.7,10,0.3,,-0.25,-1974.3,-499.4,True,False,False,False,True,0.0
s100_base_c1.00,s100_m3_combo,mid_M1,0.75,4579,-1336.8,0.9,33.2,2147,-1113.3,0.779,2432,-223.4,0.973,-1351.7,10,0.3,,-0.23,-1154.2,-182.6,True,False,False,False,True,
s100_base_c1.00,s100_m3_combo,mid_M1,1.0,4579,-2481.5,0.824,33.0,2147,-1650.1,0.695,2432,-831.4,0.904,-2489.9,10,0.3,,-0.2,-1918.4,-563.1,True,False,False,False,True,
s100_base_c1.00,s100_m3_combo,quote_S5,0.45,4579,-1329.0,0.896,30.7,2147,-1034.0,0.784,2432,-294.9,0.963,-1343.2,10,0.4,,-0.28,-1210.1,-118.9,True,False,False,False,True,0.0
s100_base_c1.00,s100_m3_combo,quote_S5,0.7,4579,-2473.7,0.818,30.6,2147,-1570.8,0.696,2432,-902.9,0.893,-2484.7,10,0.3,,-0.25,-1974.3,-499.4,True,False,False,False,True,0.0
s100_below_c0.75,s100_m3_combo,mid_M1,0.75,1817,-679.6,0.881,32.9,617,-272.0,0.81,1200,-407.6,0.904,-686.2,10,0.4,,-0.14,-511.5,-168.0,True,False,False,False,True,
s100_below_c0.75,s100_m3_combo,mid_M1,1.0,1817,-1133.8,0.811,32.8,617,-426.2,0.723,1200,-707.6,0.841,-1135.1,10,0.3,,0.07,-694.0,-439.8,True,False,False,False,True,
s100_below_c0.75,s100_m3_combo,quote_S5,0.45,1817,-566.6,0.896,31.3,617,-236.2,0.825,1200,-330.5,0.919,-633.2,10,0.4,,-0.18,-465.1,-101.6,True,False,False,False,True,0.0
s100_below_c0.75,s100_m3_combo,quote_S5,0.7,1817,-1020.9,0.823,31.2,617,-390.4,0.731,1200,-630.5,0.853,-1023.6,10,0.3,,0.02,-647.6,-373.3,True,False,False,False,True,0.0
s100_buy_c0.75,s100_m3_combo,mid_M1,0.75,2404,-1052.9,0.841,32.5,1143,-675.9,0.74,1261,-376.9,0.906,-1058.3,10,0.2,,0.07,-746.9,-306.0,True,False,False,False,True,
s100_buy_c0.75,s100_m3_combo,mid_M1,1.0,2404,-1653.9,0.765,32.3,1143,-961.7,0.656,1261,-692.2,0.837,-1655.9,10,0.1,,0.03,-1174.9,-479.0,True,False,False,False,True,
s100_buy_c0.75,s100_m3_combo,quote_S5,0.45,2404,-1038.1,0.836,30.2,1143,-609.6,0.752,1261,-428.5,0.889,-1047.1,10,0.2,,-0.1,-768.3,-269.8,True,False,False,False,True,0.0
s100_buy_c0.75,s100_m3_combo,quote_S5,0.7,2404,-1639.1,0.757,30.0,1143,-895.4,0.663,1261,-743.7,0.818,-1644.6,10,0.1,,-0.13,-1196.3,-442.8,True,False,False,False,True,0.0
s100_er_off_w1600_c0.75,s100_m3_combo,mid_M1,0.75,4547,-1359.7,0.897,33.1,2134,-1160.7,0.769,2413,-199.0,0.976,-1435.5,10,0.5,,-0.22,-1156.2,-203.4,True,False,False,False,True,
s100_er_off_w1600_c0.75,s100_m3_combo,mid_M1,1.0,4547,-2496.4,0.822,32.9,2134,-1694.2,0.686,2413,-802.3,0.907,-2506.3,10,0.4,,-0.19,-1916.0,-580.4,True,False,False,False,True,
s100_er_off_w1600_c0.75,s100_m3_combo,quote_S5,0.45,4547,-1337.3,0.895,30.6,2134,-1073.7,0.775,2413,-263.5,0.967,-1455.3,10,0.5,,-0.31,-1228.5,-108.8,True,False,False,False,True,0.0
