subset,gate,model,cost,split,n_aligned,n_against,dR_demeaned,p_flip,dR_lo,dR_hi,dR_in_c2_aligned,p_in_c2_aligned,dR_in_c2_against,p_in_c2_against
non_survivors,C2,mid,0.75,ALL,19661,18061,0.0226,0.269,-0.0372,0.0415,,,,
non_survivors,B1,mid,0.75,TRAIN,8582,8354,0.0298,0.3175,-0.055,0.0555,0.0389,0.264,0.021,0.593
non_survivors,B2,mid,0.75,TRAIN,8407,10507,-0.0027,0.9265,-0.0512,0.0553,0.0185,0.588,-0.0175,0.633
non_survivors,B3,mid,0.75,TRAIN,10873,8039,-0.0132,0.64,-0.0522,0.0551,-0.0124,0.737,-0.0252,0.46
non_survivors,B4,mid,0.75,TRAIN,8965,8391,0.0481,0.0935,-0.0546,0.0558,0.0652,0.059,0.0586,0.13
non_survivors,B5,mid,0.75,TRAIN,9859,9055,-0.0156,0.581,-0.0523,0.0547,-0.0149,0.671,-0.0607,0.104
non_survivors,B6,mid,0.75,TRAIN,4926,12846,0.0362,0.169,-0.0532,0.0543,0.0343,0.295,0.0365,0.342
non_survivors,C2,mid,0.75,TRAIN,9887,8835,0.0073,0.7955,-0.0536,0.0554,,,,
non_survivors,B1,mid,0.75,TEST,8617,8583,0.0179,0.5225,-0.0542,0.0587,0.0445,0.218,-0.03,0.467
non_survivors,B2,mid,0.75,TEST,8897,10102,0.0079,0.796,-0.0596,0.0578,0.0494,0.193,0.009,0.842
non_survivors,B3,mid,0.75,TEST,10786,8213,-0.001,0.966,-0.0548,0.0567,0.0475,0.192,-0.0542,0.13
non_survivors,B4,mid,0.75,TEST,8693,8787,0.0038,0.888,-0.0544,0.0598,0.0025,0.948,-0.0277,0.476
non_survivors,B5,mid,0.75,TEST,9828,9172,0.0083,0.781,-0.0541,0.0588,-0.0871,0.028,0.0247,0.54
non_survivors,B6,mid,0.75,TEST,4746,13236,0.0046,0.8405,-0.0507,0.0508,0.0428,0.242,-0.0981,0.011
non_survivors,C2,mid,0.75,TEST,9774,9226,0.0374,0.1885,-0.0553,0.055,,,,
non_survivors,B1,mid,1.0,ALL,17199,16937,0.0233,0.2525,-0.0366,0.0389,0.0456,0.094,-0.0096,0.742
non_survivors,B2,mid,1.0,ALL,17304,20609,0.0032,0.881,-0.0391,0.0379,0.033,0.176,-0.0035,0.901
non_survivors,B3,mid,1.0,ALL,21659,16252,-0.0071,0.708,-0.0389,0.0381,0.0184,0.487,-0.0411,0.096
non_survivors,B4,mid,1.0,ALL,17658,17178,0.0247,0.22,-0.0386,0.0412,0.0276,0.318,0.014,0.61
non_survivors,B5,mid,1.0,ALL,19687,18227,-0.0026,0.8955,-0.04,0.0396,-0.0461,0.069,-0.017,0.543
non_survivors,B6,mid,1.0,ALL,9672,26082,0.0205,0.2755,-0.0369,0.0365,0.042,0.095,-0.0314,0.24
non_survivors,C2,mid,1.0,ALL,19661,18061,0.0226,0.2605,-0.0375,0.0375,,,,
non_survivors,B1,mid,1.0,TRAIN,8582,8354,0.0293,0.313,-0.0579,0.0566,0.0365,0.299,0.0223,0.582
non_survivors,B2,mid,1.0,TRAIN,8407,10507,-0.0034,0.9045,-0.0516,0.0581,0.0214,0.516,-0.0218,0.576
non_survivors,B3,mid,1.0,TRAIN,10873,8039,-0.0133,0.6345,-0.054,0.0541,-0.0145,0.715,-0.0232,0.5
non_survivors,B4,mid,1.0,TRAIN,8965,8391,0.048,0.0885,-0.0548,0.0535,0.0667,0.043,0.0558,0.166
non_survivors,B5,mid,1.0,TRAIN,9859,9055,-0.0151,0.5975,-0.0524,0.0552,-0.0102,0.771,-0.0647,0.077
non_survivors,B6,mid,1.0,TRAIN,4926,12846,0.0368,0.18,-0.0518,0.0525,0.0332,0.387,0.04,0.275
non_survivors,C2,mid,1.0,TRAIN,9887,8835,0.0076,0.78,-0.0552,0.0537,,,,
non_survivors,B1,mid,1.0,TEST,8617,8583,0.0181,0.5135,-0.0574,0.0532,0.0499,0.179,-0.0357,0.361
non_survivors,B2,mid,1.0,TEST,8897,10102,0.0064,0.8335,-0.0584,0.0597,0.0468,0.207,0.0081,0.852
non_survivors,B3,mid,1.0,TEST,10786,8213,-0.0001,0.998,-0.0573,0.0564,0.0509,0.191,-0.0558,0.105
non_survivors,B4,mid,1.0,TEST,8693,8787,0.0032,0.9145,-0.0597,0.0586,0.0009,0.974,-0.0278,0.474
non_survivors,B5,mid,1.0,TEST,9828,9172,0.009,0.7505,-0.0552,0.058,-0.0912,0.012,0.0303,0.455
non_survivors,B6,mid,1.0,TEST,4746,13236,0.0053,0.8135,-0.0501,0.0541,0.0474,0.196,-0.1059,0.003
non_survivors,C2,mid,1.0,TEST,9774,9226,0.0377,0.182,-0.0525,0.0535,,,,
non_survivors,B1,q,0.45,ALL,17161,16879,0.0192,0.3325,-0.0402,0.0404,0.0272,0.283,-0.0,1.0
non_survivors,B2,q,0.45,ALL,17269,20546,0.0053,0.8025,-0.0383,0.0393,0.0419,0.109,-0.0056,0.852
non_survivors,B3,q,0.45,ALL,21595,16218,-0.0135,0.4865,-0.0389,0.0373,0.0168,0.552,-0.0526,0.045
non_survivors,B4,q,0.45,ALL,17606,17132,0.0306,0.1215,-0.0393,0.0374,0.043,0.099,0.0134,0.625
non_survivors,B5,q,0.45,ALL,19633,18183,0.0058,0.7755,-0.0389,0.0382,-0.0342,0.175,-0.0036,0.885
non_survivors,B6,q,0.45,ALL,9668,25990,0.0169,0.3615,-0.0347,0.0344,0.0313,0.211,-0.0235,0.402
non_survivors,C2,q,0.45,ALL,19609,18015,0.0243,0.216,-0.0385,0.0383,,,,
non_survivors,B1,q,0.45,TRAIN,8582,8354,0.0312,0.278,-0.0561,0.057,0.0233,0.507,0.0406,0.331
non_survivors,B2,q,0.45,TRAIN,8407,10507,-0.0082,0.7635,-0.0524,0.0539,0.0122,0.7,-0.0202,0.599
